POSTCODE,POSTCODE2,POSTCODE_PCDS,LAT,LONG,LEP1,LEP2,COUNTY_CODE,COUNTY_DIST_CODE,WARD_CODE
DL104SA,DL10 4SA,DL10 4SA,54.406608,-1.739502,E37000039,,E10000023,E07000166,E05006294
DL104SB,DL10 4SB,DL10 4SB,54.408696,-1.767544,E37000039,,E10000023,E07000166,E05006294
DL104SD,DL10 4SD,DL10 4SD,54.411054,-1.799486,E37000039,,E10000023,E07000166,E05006294
DL104SE,DL10 4SE,DL10 4SE,54.401975,-1.777487,E37000039,,E10000023,E07000166,E05006296
DL104SF,DL10 4SF,DL10 4SF,54.406856,-1.797802,E37000039,,E10000023,E07000166,E05006296
DL104SG,DL10 4SG,DL10 4SG,54.414422,-1.768051,E37000039,,E10000023,E07000166,E05006294
DL104SH,DL10 4SH,DL10 4SH,54.411782,-1.746162,E37000039,,E10000023,E07000166,E05006294
DL104SJ,DL10 4SJ,DL10 4SJ,54.397987,-1.722336,E37000039,,E10000023,E07000166,E05006282
DL104SL,DL10 4SL,DL10 4SL,54.393282,-1.732086,E37000039,,E10000023,E07000166,E05006282
DL104SN,DL10 4SN,DL10 4SN,54.397384,-1.738051,E37000039,,E10000023,E07000166,E05006282
DL104SP,DL10 4SP,DL10 4SP,54.411836,-1.746849,E37000039,,E10000023,E07000166,E05006294
DL104SQ,DL10 4SQ,DL10 4SQ,54.411288,-1.742492,E37000039,,E10000023,E07000166,E05006294
DL104SR,DL10 4SR,DL10 4SR,54.412434,-1.744704,E37000039,,E10000023,E07000166,E05006294
DL104SS,DL10 4SS,DL10 4SS,54.411869,-1.745139,E37000039,,E10000023,E07000166,E05006294
DL104ST,DL10 4ST,DL10 4ST,54.411827,-1.745854,E37000039,,E10000023,E07000166,E05006294
DL104SU,DL10 4SU,DL10 4SU,54.412481,-1.745813,E37000039,,E10000023,E07000166,E05006294
DL104SW,DL10 4SW,DL10 4SW,54.405848,-1.745653,E37000039,,E10000023,E07000166,E05006294
DL104SX,DL10 4SX,DL10 4SX,54.411225,-1.741913,E37000039,,E10000023,E07000166,E05006294
DL104SY,DL10 4SY,DL10 4SY,54.410164,-1.742176,E37000039,,E10000023,E07000166,E05006294
DL104SZ,DL10 4SZ,DL10 4SZ,54.409211,-1.749876,E37000039,,E10000023,E07000166,E05006294
DL104TA,DL10 4TA,DL10 4TA,54.409659,-1.754289,E37000039,,E10000023,E07000166,E05006294
